"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227775.3",163.60551986051,0.0756341484545254,0.183228269194571,0.412786459136441,0.679763073121591,0.837252891285254
"ENSG00000215790.8",149.561497040111,0.0323705249558504,0.178222421616102,0.181629924351369,0.855873163207874,0.936337491173741
"ENSG00000008130.15",859.715949948204,-0.232061634465981,0.205602106643805,-1.12869288284101,0.259027412686752,0.506262604919923
"ENSG00000078369.18",14803.8707463545,-0.447433838614486,0.0827923370143942,-5.40429047843758,6.50654287994922e-08,2.65505156399744e-06
"ENSG00000231050.1",8.76939786209061,0.162538993738831,0.61501989081881,0.264282499095165,0.791562244716057,0.900701684648993
"ENSG00000169885.10",3.28827839221006,0.980008546936309,0.980778452021693,0.999215006117031,0.317690548046195,NA
"ENSG00000178821.13",11.3354561025768,-0.173050083864106,0.52159774460401,-0.331769233387854,0.740063517851734,0.871576192559062
"ENSG00000142609.19",3.31863509715394,-0.101465418559445,0.965032243640281,-0.105141998340593,0.916263134115844,NA
"ENSG00000187730.9",12.0616147411947,-1.35339870316991,0.54807315515629,-2.46937601383519,0.0135348913129892,0.0782093461951593
"ENSG00000067606.17",245.349047811297,0.0429586555659268,0.160586192798524,0.267511514018045,0.789075350204786,0.899139508495153
"ENSG00000271806.1",5.91655034428867,0.0782426871886763,0.783644752625201,0.0998445876483753,0.920467709061983,NA
"ENSG00000182873.5",55.1300844180395,-0.0792633588211924,0.286621650658574,-0.27654351525458,0.782130641867627,0.895677190215946
"ENSG00000162585.17",281.322438759835,-0.152402905625144,0.255332503015965,-0.596880161456041,0.550587393300596,0.757470380249815
"ENSG00000157933.10",1079.99995250185,-0.0440117348072216,0.151530872705477,-0.290447312956252,0.771474052361576,0.889328349437378
"ENSG00000287356.1",13.0813957437209,0.254361253913326,0.509030698054737,0.499697277365331,0.617288249867928,0.799514879378332
"ENSG00000116151.14",190.260236266184,0.251538699144911,0.198563754231071,1.26679060898593,0.205230170890537,0.44474442251141
"ENSG00000269896.2",34.888783361489,0.451243138918769,0.33306435696176,1.35482266260805,0.175474064359747,0.404930886396498
"ENSG00000272420.1",10.658326225355,1.12134398934625,0.58473942265843,1.91768152769353,0.0551514054037747,0.201608928283013
"ENSG00000157916.20",1389.59523163091,-0.20683958439253,0.107491215558873,-1.92424639834167,0.0543237058028685,0.199734645716159
"ENSG00000157911.11",128.624634546579,-0.0674112350299176,0.230261473864589,-0.292759504655827,0.769705983288494,0.888505410076016
"ENSG00000149527.18",37.3972172094011,-1.1688457852379,0.363048436832769,-3.21953124336492,0.001284003679129,0.0138079504594285
"ENSG00000157881.16",136.902738772482,-0.325142764201091,0.232718751456649,-1.39714897130521,0.162368778033738,0.387633365258491
"ENSG00000157870.17",33.4156915577104,-0.457342143818005,0.496708745255821,-0.920745100999699,0.357183523320699,0.604102315469768
"ENSG00000142606.16",8.62878013993695,-0.273841087005822,0.597732511013028,-0.458133164852821,0.646856773254322,0.818374992904545
"ENSG00000130762.15",33.6177091790705,-0.578775603561525,0.392168372871282,-1.47583447212734,0.13998833411734,0.354744894818279
"ENSG00000272088.1",1.41725906061043,-0.471815632458558,1.3453865418886,-0.350691505949094,0.725819798621995,NA
"ENSG00000162591.16",90.4427230883409,0.24639186149849,0.280637260139079,0.877972730265334,0.379958517665968,0.623824488971839
"ENSG00000158109.15",482.203742420527,-0.253178881073559,0.129583276306407,-1.95379286810826,0.050725718061922,0.192359244325026
"ENSG00000116213.16",841.325679535504,-0.211541410360287,0.182175570635976,-1.16119526686149,0.245562499162295,0.491190430958229
"ENSG00000078900.15",240.505880324618,-0.563996839937202,0.281724540146975,-2.00194430929931,0.0452907214313799,0.178750404985174
"ENSG00000227589.1",3.64018095888251,-0.832350981995575,0.857268977832235,-0.970933281757531,0.331581503456504,NA
"ENSG00000235131.1",1.88111193496791,0.612304071436964,1.36582714888977,0.448302753342314,0.65393471381882,NA
"ENSG00000227372.12",1031.33161157802,-0.0503446551873461,0.145167269331462,-0.346804451300889,0.728738232791332,0.865179444114307
