"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.5",12.6249907272425,-0.298220268453401,0.579954304000463,-0.514213389565884,0.607102807442731,0.85669746411814
"ENSG00000241860.7",3.31985250892404,-1.46100189216921,0.965810628348847,-1.51272086813431,0.130350576524857,0.391145600462642
"ENSG00000279928.2",1.65540041683566,-1.07976937151094,1.44056525670533,-0.749545615156957,0.45352841595019,NA
"ENSG00000279457.4",26.0735235180315,0.344586885686337,0.395637203287641,0.870966842407413,0.383772257840043,0.708573698287904
"ENSG00000228463.10",2.29528381411303,1.14200751881214,1.24047982925074,0.920617564174276,0.357250128792871,NA
"ENSG00000237094.12",10.2517409138283,0.219248987201698,0.554238518714132,0.395585979318741,0.692410482017363,0.898466017750515
"ENSG00000230021.10",1.29875535893977,1.42985146726094,1.93344595549299,0.739535265104605,0.459582033988009,NA
"ENSG00000225972.1",2.78901985719123,0.349205162680644,1.00272584089054,0.348255872582788,0.727648030536173,0.913144644664022
"ENSG00000225630.1",1552.53655850939,-0.185608483568145,0.191924274201096,-0.967092278143343,0.333497905354279,0.663505472227906
"ENSG00000237973.1",270.868056242886,0.514357789875587,0.163908827765514,3.13807253024481,0.00170062789643494,0.0134239697488494
"ENSG00000229344.1",10.2361863129963,-0.0034528086107974,0.556061731367873,-0.00620939801468397,0.995045649029399,0.997966565290582
"ENSG00000248527.1",2012.75868896291,-0.156330129602618,0.155310470957832,-1.00656529233668,0.314143720380809,0.645910849639528
"ENSG00000198744.5",4.921596483412,0.241216356253027,0.7691952302124,0.313595751479659,0.753828086715851,0.922598292014564
"ENSG00000229376.3",2.50350065607792,0.361662632298205,1.04185214845653,0.347134315395901,0.728490414568933,NA
"ENSG00000228327.3",37.7901272242806,-0.29446778321191,0.288158408762761,-1.02189550697562,0.306830359227333,0.63851743780697
"ENSG00000237491.10",64.5878203679347,0.252126899292114,0.243723890911288,1.03447757357478,0.300912955708131,0.631942726123469
"ENSG00000230092.7",9.20211858911319,0.365111110483983,0.540742487838042,0.675203296755437,0.499546612390223,0.794135510262193
"ENSG00000177757.2",17.0809146161632,0.531807117666586,0.423805842172326,1.25483668403595,0.209538052617467,0.521657152262579
"ENSG00000228794.10",411.708172290711,-0.205482851064655,0.124222443454393,-1.65415238463004,0.0980965546761175,0.324672757150972
"ENSG00000225880.5",9.6573354855707,0.493916048126306,0.59741583177899,0.826754200094628,0.408376394040485,0.727445728425364
"ENSG00000272438.1",23.3884487784344,1.13153573813507,0.392965399751878,2.8794793100093,0.00398332433498958,0.0275035521829804
"ENSG00000230699.2",159.412541494046,0.705772534832584,0.275251044352857,2.56410483924566,0.0103442293941302,0.060313336075666
"ENSG00000223764.2",218.943583685505,0.917558113552243,0.444468944588501,2.06439195521689,0.0389805686187447,0.17081758970465
"ENSG00000187634.13",183.358163413017,0.73670047314779,0.661449400935856,1.11376693682913,0.265379184633238,0.593400718588676
"ENSG00000188976.11",2128.29382462628,-0.161660076124208,0.203019049404881,-0.796280332304233,0.425869114511194,0.740729830915418
"ENSG00000187961.14",256.666447049335,-0.0300362111753502,0.488734643586921,-0.0614570944979641,0.950995183411719,0.985727604696298
"ENSG00000187583.11",4.18958057722278,1.53824497043355,0.883707106592661,1.74067285298249,0.0817409394051613,0.287955436948682
"ENSG00000272512.1",5.22953735617056,0.359469165181939,0.874181669096588,0.411206477886259,0.68092113868571,0.891637101170024
"ENSG00000188290.11",13.9776131831114,1.17272931115694,0.594955658701833,1.97112052638643,0.0487100914084135,0.201034482709585
