"","SRR14862052ReadsPerGene.out.tab","SRR14862053ReadsPerGene.out.tab","SRR14862054ReadsPerGene.out.tab","SRR14862055ReadsPerGene.out.tab","SRR14862056ReadsPerGene.out.tab","SRR14862057ReadsPerGene.out.tab","SRR14862058ReadsPerGene.out.tab","SRR14862059ReadsPerGene.out.tab","SRR14862060ReadsPerGene.out.tab"
"ENSG00000240731.1",43,59,83,63,68,64,63,59,78
"ENSG00000224051.7",84,101,133,101,58,44,100,109,109
"ENSG00000169962.5",5,5,20,9,2,5,7,11,17
"ENSG00000107404.20",252,346,411,327,182,109,322,445,357
"ENSG00000284372.1",0,0,0,0,0,0,0,0,0
"ENSG00000162576.17",135,215,147,153,141,47,147,227,141
"ENSG00000175756.13",424,372,533,479,218,154,567,536,469
"ENSG00000223663.2",2,1,3,3,1,1,0,1,2
"ENSG00000221978.12",3268,4313,5086,3821,4115,3966,4213,4453,4556
"ENSG00000224870.7",231,264,363,270,217,185,280,282,304
"ENSG00000242485.6",731,715,913,805,640,740,1028,705,746
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0
"ENSG00000272455.1",53,70,80,67,73,85,68,72,65
"ENSG00000235098.9",2,1,1,0,1,3,1,3,0
"ENSG00000225905.1",1,0,0,0,0,0,0,0,1
"ENSG00000205116.4",1,3,1,1,0,0,1,3,1
"ENSG00000225285.1",2,0,1,1,0,2,0,0,2
"ENSG00000179403.12",27,36,55,31,22,11,49,74,51
"ENSG00000215915.10",7,3,14,19,3,7,11,1,10
"ENSG00000160072.20",534,552,731,548,400,355,569,555,635
"ENSG00000284740.1",2,2,3,2,0,4,3,3,4
"ENSG00000197785.14",194,217,269,223,114,79,219,265,232
"ENSG00000205090.9",11,24,17,15,6,7,16,26,19
"ENSG00000160075.12",1461,1380,1753,1515,1506,1302,1763,1507,1351
"ENSG00000215014.5",19,15,18,18,15,21,24,17,18
"ENSG00000274481.1",0,0,0,0,0,0,0,0,0
"ENSG00000228594.4",94,123,130,110,53,32,101,177,128
"ENSG00000286989.1",5,17,14,6,10,3,7,8,12
"ENSG00000272106.1",85,103,134,95,126,82,89,103,104
"ENSG00000197530.13",75,117,168,109,59,43,80,183,149
"ENSG00000189409.14",0,0,0,0,0,0,0,1,0
"ENSG00000248333.9",319,300,370,315,259,234,377,406,295
"ENSG00000272004.1",2,2,0,1,1,0,0,0,3
"ENSG00000189339.12",1585,1772,2233,1846,1434,1413,1806,1768,1890
"ENSG00000269737.2",110,99,154,121,103,104,88,105,161
"ENSG00000215914.4",0,0,0,0,0,0,0,1,0
"ENSG00000008128.23",7,28,28,15,15,12,17,25,17
"ENSG00000268575.1",125,99,126,109,81,95,88,88,115
"ENSG00000227775.3",133,182,190,148,146,147,180,172,197
"ENSG00000215790.8",126,161,192,135,132,138,168,162,155
"ENSG00000008130.15",818,898,1093,904,688,552,1000,964,922
"ENSG00000078369.18",14461,15100,14763,16221,16094,12518,17875,15519,12116
"ENSG00000231050.1",6,15,10,7,5,5,9,11,12
"ENSG00000169885.10",2,2,4,3,1,2,2,5,9
"ENSG00000178821.13",13,14,15,10,12,9,8,15,7
"ENSG00000142609.19",2,2,1,5,2,3,3,6,6
"ENSG00000233542.2",2,0,0,2,1,1,2,0,1
"ENSG00000187730.9",19,8,15,16,3,3,27,9,9
"ENSG00000226969.1",0,0,0,0,0,2,0,0,0
"ENSG00000067606.17",180,263,290,219,300,197,247,302,247
"ENSG00000271806.1",8,3,5,8,8,4,1,5,11
"ENSG00000182873.5",41,50,77,58,43,39,70,68,60
"ENSG00000162585.17",270,293,390,312,197,167,288,335,314
"ENSG00000234396.3",0,1,0,0,0,2,0,1,0
"ENSG00000157933.10",963,1261,1314,1014,1071,879,978,1367,1004
"ENSG00000287356.1",12,19,15,7,9,10,12,19,16
"ENSG00000116151.14",156,191,284,172,149,165,202,179,248
"ENSG00000272161.1",0,1,0,1,0,2,4,0,0
"ENSG00000269896.2",29,47,56,29,28,31,23,40,37
"ENSG00000272420.1",8,10,19,8,15,9,2,11,16
"ENSG00000157916.20",1336,1330,1506,1373,1496,1448,1617,1369,1199
"ENSG00000157911.11",96,157,150,135,104,94,134,166,139
"ENSG00000149527.18",59,23,39,58,16,16,54,41,30
"ENSG00000224387.1",0,0,0,0,0,0,0,0,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0,0
"ENSG00000157881.16",155,138,171,136,102,92,157,157,136
"ENSG00000197921.6",0,0,0,0,0,0,0,0,0
"ENSG00000272449.2",0,0,0,0,0,0,0,0,0
"ENSG00000238164.6",0,0,0,0,0,0,0,0,0
"ENSG00000157873.18",0,1,0,0,0,0,0,0,0
"ENSG00000225931.3",0,0,0,0,0,0,0,0,0
"ENSG00000228037.1",0,0,0,0,0,0,0,0,0
"ENSG00000157870.17",20,34,51,52,16,10,40,55,29
"ENSG00000142606.16",5,14,10,9,9,5,9,12,6
"ENSG00000237058.1",0,0,0,0,0,0,0,0,0
"ENSG00000215912.12",0,0,0,0,0,0,0,0,0
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,0,0,0,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0
"ENSG00000287396.1",0,0,0,0,1,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0,0,0,0
"ENSG00000169717.7",0,0,0,0,0,0,0,0,0
"ENSG00000177133.12",0,0,0,0,0,0,0,0,0
"ENSG00000142611.17",0,0,0,0,1,0,0,0,1
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0,0
"ENSG00000279839.1",0,0,0,0,0,0,0,0,0
"ENSG00000272235.1",0,0,0,0,0,0,1,0,0
"ENSG00000287828.1",0,0,0,0,0,0,0,0,0
"ENSG00000286518.1",0,0,0,0,0,0,0,0,0
"ENSG00000130762.15",40,37,40,38,23,14,31,53,28
"ENSG00000272088.1",1,1,2,3,2,1,1,1,1
"ENSG00000162591.16",57,151,91,59,95,51,71,147,102
"ENSG00000207776.1",0,0,1,0,0,0,0,0,1
"ENSG00000238260.1",1,2,2,1,0,0,1,0,3
"ENSG00000158109.15",455,398,596,533,454,470,652,400,453
"ENSG00000116213.16",856,749,1114,929,604,635,1031,813,945
"ENSG00000078900.15",274,194,303,352,137,119,288,252,264
"ENSG00000227589.1",5,1,3,4,3,3,9,0,5
"ENSG00000235131.1",1,3,1,1,1,1,1,5,3
"ENSG00000227372.12",918,1134,1296,1068,956,858,1023,1094,1070
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0
"ENSG00000162592.10",12,15,16,15,6,13,10,9,17
"ENSG00000235169.11",8,9,14,10,7,0,11,10,12
"ENSG00000130764.10",966,966,1270,1081,978,877,1167,966,1010
"ENSG00000266075.2",5,4,11,6,9,7,4,5,10
"ENSG00000272153.1",18,26,24,13,27,26,16,20,27
"ENSG00000116198.14",635,899,862,777,827,817,872,891,792
"ENSG00000169598.17",153,190,213,155,158,178,171,162,192
"ENSG00000198912.12",467,461,590,532,504,519,607,481,487
"ENSG00000236423.6",6,9,19,11,10,15,11,17,21
"ENSG00000233304.7",0,0,0,0,0,0,0,0,0
"ENSG00000226374.3",0,0,0,0,0,0,0,0,0
"ENSG00000284668.2",0,0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,1,2,1,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0
"ENSG00000235054.4",0,0,1,0,0,0,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0
